Layer Name: FeatureExtractor/MobilenetV2/MobilenetV2/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/Conv/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/Conv/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/Conv/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_1/project/Identity, Layer Type: Identity
